Year,6,3,Unknown
1979,0.0,1,0.0
1981,0.0,1,0.0
1985,0.0,2,0.0
1988,0.0,1,0.0
1990,0.0,2,0.0
1991,1.0,1,0.0
1992,0.0,2,0.0
1993,1.0,4,0.0
1994,0.0,1,0.0
1995,2.0,4,0.0
1996,1.0,4,0.0
1997,0.0,2,0.0
1998,6.0,8,0.0
1999,8.0,10,0.0
2000,8.0,1,0.0
2001,5.0,2,0.0
2002,5.0,2,0.0
2003,3.0,7,0.0
2004,10.0,6,0.0
2005,9.0,10,0.0
2006,7.0,9,0.0
2007,11.0,8,0.0
2008,8.0,7,0.0
2009,15.0,13,8.0
2010,20.0,9,10.0
2011,12.0,14,10.0
2012,8.0,13,10.0
2013,18.0,8,5.0
2014,9.0,10,7.0
2015,18.0,11,11.0
2016,24.0,17,7.0
2017,15.0,16,2.0
2018,25.0,14,7.0
2019,17.0,22,3.0
2020,20.0,31,10.0
2021,21.0,23,5.0
2022,14.0,18,3.0
2023,10.0,21,7.0
2024,25.0,24,0.0
2025,11.0,23,0.0
