Year,3,6,Unknown
1975,2.0,0.0,0.0
1976,1.0,0.0,0.0
1982,1.0,0.0,0.0
1983,2.0,0.0,0.0
1984,3.0,0.0,0.0
1985,2.0,0.0,0.0
1986,4.0,0.0,0.0
1987,7.0,0.0,0.0
1988,4.0,0.0,0.0
1989,8.0,0.0,0.0
1990,6.0,0.0,0.0
1991,2.0,1.0,0.0
1992,3.0,0.0,0.0
1993,2.0,1.0,0.0
1994,4.0,0.0,0.0
1995,1.0,0.0,0.0
1996,5.0,1.0,0.0
1997,5.0,2.0,0.0
1998,6.0,1.0,0.0
1999,2.0,1.0,0.0
2000,4.0,4.0,0.0
2001,1.0,2.0,0.0
2003,4.0,2.0,0.0
2004,0.0,3.0,0.0
2005,5.0,8.0,0.0
2006,8.0,4.0,0.0
2007,3.0,5.0,0.0
2008,3.0,2.0,0.0
2009,1.0,5.0,3.0
2010,2.0,3.0,0.0
2011,1.0,3.0,1.0
2012,5.0,3.0,0.0
2013,3.0,4.0,3.0
2014,6.0,5.0,1.0
2015,6.0,4.0,0.0
2016,7.0,2.0,0.0
2017,4.0,4.0,0.0
2018,8.0,4.0,0.0
2019,3.0,5.0,0.0
2020,2.0,6.0,0.0
2021,3.0,7.0,3.0
2022,3.0,5.0,1.0
2023,5.0,7.0,1.0
2024,8.0,2.0,0.0
2025,8.0,2.0,0.0
